cbsa_code,cbsa_name,finance,information,logistics,manufacturing,professional_services,demand_index,primary_city,state,cbsa_name_u,is_candidate
44340,"Statesboro, GA",572,239,1641,1961,733,1480.5,Statesboro,GA,"STATESBORO, GA",False
44380,"Statesville-Mooresville, NC",1328,535,2636,12769,3513,6733.800000000001,Statesville,NC,"STATESVILLE-MOORESVILLE, NC",False
44420,"Staunton-Waynesboro, VA",1027,504,4018,8051,1159,4760.3,Staunton,VA,"STAUNTON-WAYNESBORO, VA",False
44500,"Stephenville, TX",306,92,730,2360,557,1305.0,Stephenville,TX,"STEPHENVILLE, TX",False
44540,"Sterling, CO",204,55,217,388,103,261.3,Sterling,CO,"STERLING, CO",False
44580,"Sterling, IL",528,84,1616,4058,431,2247.0,Sterling,IL,"STERLING, IL",False
44600,"Steubenville-Weirton, OH-WV",595,230,1859,4697,666,2629.2,Steubenville,OH-WV,"STEUBENVILLE-WEIRTON, OH-WV",False
44620,"Stevens Point, WI",4652,251,2024,4768,657,3111.0,Stevens Point,WI,"STEVENS POINT, WI",False
44660,"Stillwater, OK",697,307,465,1428,1112,1002.8000000000001,Stillwater,OK,"STILLWATER, OK",False
44700,"Stockton, CA",6344,1776,34643,19398,5625,19911.5,Stockton,CA,"STOCKTON, CA",False
44740,"Storm Lake, IA",235,65,103,3383,178,1443.2,Storm Lake,IA,"STORM LAKE, IA",False
44780,"Sturgis, MI",324,99,300,8502,767,3676.6000000000004,Sturgis,MI,"STURGIS, MI",False
44860,"Sulphur Springs, TX",547,120,520,2713,224,1340.7,Sulphur Springs,TX,"SULPHUR SPRINGS, TX",False
44900,"Summerville, GA",121,35,20,2261,82,938.9000000000001,Summerville,GA,"SUMMERVILLE, GA",False
44940,"Sumter, SC",732,303,807,5020,972,2517.7,Sumter,SC,"SUMTER, SC",False
44980,"Sunbury, PA",579,246,3033,4432,580,2856.6000000000004,Sunbury,PA,"SUNBURY, PA",False
45000,"Susanville, CA",78,58,68,0,358,99.8,Susanville,CA,"SUSANVILLE, CA",False
45020,"Sweetwater, TX",114,35,255,998,119,510.90000000000003,Sweetwater,TX,"SWEETWATER, TX",False
45060,"Syracuse, NY",11237,4144,11214,24611,15761,17484.500000000004,Syracuse,NY,"SYRACUSE, NY",False
45140,"Tahlequah, OK",337,134,6,167,175,137.3,Tahlequah,OK,"TAHLEQUAH, OK",False
45180,"Talladega-Sylacauga, AL",515,147,2277,10529,496,5045.400000000001,Talladega,AL,"TALLADEGA-SYLACAUGA, AL",False
45220,"Tallahassee, FL",5240,2882,1730,3105,12062,4697.4,Tallahassee,FL,"TALLAHASSEE, FL",False
45260,"Tallulah, LA",120,7,184,185,16,144.39999999999998,Tallulah,LA,"TALLULAH, LA",False
45300,"Tampa-St. Petersburg-Clearwater, FL",100599,27815,35859,66875,115030,70573.6,Tampa,FL,"TAMPA-ST. PETERSBURG-CLEARWATER, FL",False
45340,"Taos, NM",187,96,76,284,359,226.89999999999998,Taos,NM,"TAOS, NM",False
45380,"Taylorville, IL",291,187,184,843,152,451.90000000000003,Taylorville,IL,"TAYLORVILLE, IL",False
45460,"Terre Haute, IN",1319,561,2203,9397,1213,4794.2,Terre Haute,IN,"TERRE HAUTE, IN",False
45500,"Texarkana, TX-Texarkana, AR",1590,513,2429,5027,1983,3295.1,Texarkana,TX-Texarkana,"TEXARKANA, TX-TEXARKANA, AR",False
45520,"The Dalles, OR",259,231,311,600,253,409.8,The Dalles,OR,"THE DALLES, OR",False
45540,"The Villages, FL",1045,103,532,1208,811,909.5000000000001,The Villages,FL,"THE VILLAGES, FL",False
45580,"Thomaston, GA",167,52,45,1332,90,581.0000000000001,Thomaston,GA,"THOMASTON, GA",False
45620,"Thomasville, GA",762,215,271,2898,372,1391.1000000000001,Thomasville,GA,"THOMASVILLE, GA",False
45640,"Thomasville-Lexington, NC",599,163,1837,11160,892,5253.4,Thomasville,NC,"THOMASVILLE-LEXINGTON, NC",False
45660,"Tiffin, OH",375,104,468,4444,299,2015.3000000000002,Tiffin,OH,"TIFFIN, OH",False
