rank_border_flo,rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,manufacturing,logistics,information,finance,professional_services,demand_index,demand_norm,enterprise_fit,cloud_adjacency,resilience,capex_friction,score_baseline,score_flo,is_candidate
54,220,513,49700,"Yuba City, CA",Yuba City,CA,2381,1957,362,877,1140,1855.2,0.00420858618654819,2211.4,362,0.7407074798757545,8.812545770172237,0.00420858618654819,0.08633975598378055,False
55,224,880,33420,"Mineral Wells, TX",Mineral Wells,TX,756,184,27,177,189,413.1,0.0008960645515623016,527.1999999999999,27,0.6211519121340725,7.195937226475569,0.0008960645515623016,0.08590865536446361,False
56,225,640,42140,"Santa Fe, NM",Santa Fe,NM,849,879,717,1621,2619,1289.1999999999998,0.002908477147367819,861.0,717,0.7427940851513983,8.807771066980044,0.002908477147367819,0.08590364611744115,False
57,236,521,20940,"El Centro, CA",El Centro,CA,2427,1871,349,721,1099,1824.0,0.004136919398522699,2204.6000000000004,349,0.7312326268541967,8.774622220696997,0.004136919398522699,0.08498684762575842,False
58,239,945,45000,"Susanville, CA",Susanville,CA,0,68,58,78,358,99.8,0.0001764105551396687,27.200000000000003,58,0.5496637580577755,6.333279628139691,0.0001764105551396687,0.08476784713930152,False
59,241,750,26020,"Hobbs, NM",Hobbs,NM,424,1764,330,414,674,874.9999999999999,0.0019570545960806993,960.0,330,0.6903813789121416,8.19063168090354,0.0019570545960806993,0.08471681379018053,False
60,242,472,41660,"San Angelo, TX",San Angelo,TX,3199,935,779,1788,1702,2079.3,0.0047233466736158955,2293.3999999999996,779,0.7477933458790758,9.036463061964891,0.0047233466736158955,0.08461350984484423,False
61,243,360,10180,"Abilene, TX",Abilene,TX,3632,2836,1015,3106,1887,2991.6000000000004,0.006818911119630476,3313.6,1015,0.7721013894609681,9.431642228411022,0.006818911119630476,0.08452981760936903,False
62,250,427,39140,"Prescott, AZ",Prescott,AZ,3257,1579,585,1128,2422,2373.7000000000003,0.005399587134984626,2585.7999999999997,585,0.7442559715789148,9.101863895640099,0.005399587134984626,0.08309204760154826,False
63,265,460,29420,"Lake Havasu City-Kingman, AZ",Lake Havasu City,AZ,3239,1540,487,1087,1365,2139.3,0.004861167419818762,2559.3999999999996,487,0.7289683553071638,8.951440100949855,0.004861167419818762,0.08216834019318874,False
64,266,396,29740,"Las Cruces, NM",Las Cruces,NM,3269,1993,412,1712,3123,2701.3,0.006152088409252275,2758.6,412,0.7508832312720893,9.260082463870997,0.006152088409252275,0.08211448868508171,False
65,267,269,15180,"Brownsville-Harlingen, TX",Brownsville,TX,4909,4931,1753,3404,3115,4406.3,0.010068494613850388,4917.8,1753,0.7781505794530148,9.804385191492917,0.010068494613850388,0.08204562111459181,True
66,271,235,31180,"Lubbock, TX",Lubbock,TX,5502,4750,2619,5301,5048,5165.500000000001,0.011812386455803991,5201.2,2619,0.7899050278169122,10.05281232064669,0.011812386455803991,0.08161500714217577,False
